,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
58,5/29/18,69090,170334,268305,2896,249
59,5/30/18,72321,159297,268645,2742,216
60,5/31/18,55798,123710,268998,1414,101
61,6/1/18,62890,147780,269167,3049,250
62,6/2/18,60287,158528,269371,5634,307
63,6/3/18,50041,134416,269544,3892,154
64,6/4/18,58910,130774,269763,2372,166
65,6/5/18,71906,155007,269934,2682,199
66,6/6/18,69797,154726,270119,2479,173
67,6/7/18,70478,160532,270274,2808,198
68,6/8/18,72696,163188,270455,3915,283
69,6/9/18,65239,171623,270657,6917,292
70,6/10/18,41639,106867,270825,3136,112
71,6/11/18,68060,154381,271146,3044,243
72,6/12/18,76255,166828,271364,3260,215
73,6/13/18,64270,144934,271541,2044,104
74,6/14/18,75803,173109,271708,3359,227
75,6/15/18,72417,160081,271883,4005,296
76,6/16/18,63182,165240,272071,7037,339
77,6/17/18,56218,146611,272306,5760,232
78,6/18/18,63551,136481,272522,2498,206
79,6/19/18,72168,153883,272780,2902,230
80,6/20/18,74088,165836,272950,2929,231
81,6/21/18,70050,158375,273114,3026,262
82,6/22/18,71084,156062,273291,3736,263
83,6/23/18,51028,118620,273422,4172,207
84,6/24/18,55775,152057,273615,5862,232
85,6/25/18,71747,163026,273820,3441,221
86,6/26/18,80643,171973,274006,3442,254
87,6/27/18,67647,140557,274165,2457,183
88,6/28/18,50431,104860,274290,1967,154
89,6/29/18,69856,151785,274467,3940,326
90,6/30/18,54713,134347,274628,5425,360
